reading,value,sub_index,competing_signs,sign_name,abz,mzl,other_lists,sign_other_values,corpus_occurrences,resolved_to_by_scorer,ebl_url
iši₂,iši,2,2,|ŠU₂.AN|,ABZ546,870,LAK 356; SLLHA 546,en₂ gibil₇ gibir₂ kibir₃ kunga₂ kungi₂ sulgar suhul še₉ šuhub,0,yes,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=i%C5%A1i%E2%82%82&subIndex=2&value=i%C5%A1i
kunga₂,kunga,2,2,|BAR.AN|,ABZ74_182,122,SLLHA 74_182,kungi₂,0,yes,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=kunga%E2%82%82&subIndex=2&value=kunga
kunga₂,kunga,2,2,|ŠU₂.AN|,ABZ546,870,LAK 356; SLLHA 546,en₂ gibil₇ gibir₂ iši₂ kibir₃ kungi₂ sulgar suhul še₉ šuhub,0,,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=kunga%E2%82%82&subIndex=2&value=kunga
kungi₂,kungi,2,2,|BAR.AN|,ABZ74_182,122,SLLHA 74_182,kunga₂,0,yes,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=kungi%E2%82%82&subIndex=2&value=kungi
kungi₂,kungi,2,2,|ŠU₂.AN|,ABZ546,870,LAK 356; SLLHA 546,en₂ gibil₇ gibir₂ iši₂ kibir₃ kunga₂ sulgar suhul še₉ šuhub,0,,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=kungi%E2%82%82&subIndex=2&value=kungi
lah₇,lah,7,2,DU@s,ABZ202,352,HZL 129; OBZL 66; SLLHA 202; KWU 707,ālik lāsimu barim gim₄ gir₅ giri₅ girim₂ im₂ ka₇ kaku kamaš kas₄ kaš₄ kim₄ parim raₓ rim₄,350,yes,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=lah%E2%82%87&subIndex=7&value=lah
lah₇,lah,7,2,|DU@s.DU@s|,,,,gigri₂ rahₓ reₓ suₓ subₓ sugₓ šuₓ,0,,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=lah%E2%82%87&subIndex=7&value=lah
mahru,mahru,1,2,IGI,ABZ449,724,HZL 288; LAK 421; OBZL 233; SLLHA 449; KWU 556,panu bad₅ badi bat₅ damu₂ ge₈ gi₈ igaₓ igi igu ina₂ ini₂ inu₂ lam₅ le₃ lem li₃ lib₄ lim lima limi lum₂ pa₁₀ pad₄ pan₃ raₓ si₁₇ še₂₀ ši,92728,yes,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=mahru&subIndex=1&value=mahru
mahru,mahru,1,2,|IGI.DU|,,,,ašarid ašaridu gešdu₄ geštu₄ igeštu igištu mahra palil,0,,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=mahru&subIndex=1&value=mahru
maru,maru,1,2,TE@g,ABZ58,88,HZL 315; LAK 382; OBZL 283; SLLHA 58; KWU 484,gar₁₃ gur₈ gura₈ guru₈ qurₓ qur₈ ru₁₀ teₓ ur₁₂ uru₅,24197,,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=maru&subIndex=1&value=maru
maru,maru,1,2,TUR,ABZ144,255,HZL 237; LAK 528; OBZL 393; SLLHA 144; KWU 801,ban₃ banda₃ damu de₁₀ di₄ du₁₃ dumₓ dumu ibila₄ peš₇ suhušₓ šak₇ šir₆ tu₁₉ tul₄ tur tura turu ṭur₃ zerₓ,27928,yes,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=maru&subIndex=1&value=maru
mulu₄,mulu,4,2,GAN₂,ABZ105,174,HZL 61; LAK 89; OBZL 106; SLLHA 105; KWU 100,eqlu al₃ alalₓ aša₅ ašag buruₓ ga₃ gan₂ gana₂ ĝa₃ girriₓ iku išhuru₃ išhurum₃ kalaₓ kan₂ kana₂ karₓ mul₅ ul₈ ululₓ,2768,yes,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=mulu%E2%82%84&subIndex=4&value=mulu
mulu₄,mulu,4,2,|GAN₂.BU|,,,,šanna,0,,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=mulu%E2%82%84&subIndex=4&value=mulu
muš₇,muš,7,2,DIŠ,ABZ480,748,HZL 356; OBZL 390; SLLHA 480,anₓ ana aš₁₀ daš₂ deš diš diša duš₂ gala₁₀ ge₃ geš₂ gešta gi₃ giš₂ ĝeš₂ ĝiš₂ il₄ ili₆ eš₄ iš₄ m makaš makkaš saĝtak₄ salubug₂ salugub₂ sandak₄ santa₄ santag₄ santak₄ šantag šantak tal₄ taš₂ til₅ tiš tiz ṭiš uš₉ 1 60,246176,yes,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=mu%C5%A1%E2%82%87&subIndex=7&value=mu%C5%A1
muš₇,muš,7,2,|U.DAR|,ABZ418,670,HZL 263; SLLHA 418,ašdar ugun ugunu,0,,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=mu%C5%A1%E2%82%87&subIndex=7&value=mu%C5%A1
n,n,1,2,N,,,,barig gešʾu,0,yes,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=n&subIndex=1&value=n
n,n,1,2,X,,,KWU 171; KWU 173; KWU 290; KWU 306; KWU 504; KWU 672; KWU 798,x,0,,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=n&subIndex=1&value=n
namru,namru,1,2,|KUR.MUŠ₃@g.ZA.KI|,,,,,0,yes,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=namru&subIndex=1&value=namru
namru,namru,1,2,|U₂.KUR.ZA.MUŠ₃@g.KI|,,,,namri,0,,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=namru&subIndex=1&value=namru
naš,naš,1,2,MAŠ,ABZ74,120,HZL 20; LAK 42; OBZL 29; SLLHA 74; KWU 107,ba₇ baš ma₇ mas maś maš ½ maša maṣ sa₉ til₉ waš zipah,31427,yes,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=na%C5%A1&subIndex=1&value=na%C5%A1
naš,naš,1,2,|U.U|,ABZ471,708,HZL 296; OBZL 363; SLLHA 471,amna₂ buzur₂ gešₓ gišₓ ma₁₀ mam man mana men₅ mešₓ mim₃ min₃ mina₃ nes neš nis niš niz puzur₂ šamaš₂ šar₄ šarru₂ šušana₂ šušanaku tab₄ utu₃ wan 20,0,,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=na%C5%A1&subIndex=1&value=na%C5%A1
nu₁₂,nu,12,2,DIB,ABZ537,813,HZL 210?; OBZL 419; SLLHA 537,dab daba dabe dap deb diₓ dib dibi dip dubba dul₈ teb tep tib tip ṭab₃ ṭap₃ ṭeb ṭep ṭib ṭip,55131,,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=nu%E2%82%81%E2%82%82&subIndex=12&value=nu
nu₁₂,nu,12,2,LU,ABZ537,812,HZL 210; OBZL 416; SLLHA 537; KWU 891,eze lu lug si₆ udu,55131,yes,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=nu%E2%82%81%E2%82%82&subIndex=12&value=nu
panu,panu,1,2,IGI,ABZ449,724,HZL 288; LAK 421; OBZL 233; SLLHA 449; KWU 556,mahru bad₅ badi bat₅ damu₂ ge₈ gi₈ igaₓ igi igu ina₂ ini₂ inu₂ lam₅ le₃ lem li₃ lib₄ lim lima limi lum₂ pa₁₀ pad₄ pan₃ raₓ si₁₇ še₂₀ ši,92728,yes,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=panu&subIndex=1&value=panu
panu,panu,1,2,|ZA.MUŠ₃@g.AB@g|,,,,sugal unu₁₁ zabala zabalam,0,,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=panu&subIndex=1&value=panu
puzru,puzru,1,2,|KA×GAN₂@t.ŠA|,,,,buzur₄ puzur₄,0,,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=puzru&subIndex=1&value=puzru
puzru,puzru,1,2,|KA×GAN₂@t|,ABZ19,33,LAK 324; OBZL 321; SLLHA 19; KWU 428,ba₁₁ bu₃ bum burₓ buzur₅ kan₆ kana₆ muₓ pu₃ pum puzur₅ tugure,90,yes,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=puzru&subIndex=1&value=puzru
samag,samag,1,2,DUB,ABZ138,242,HZL 99; LAK 609; OBZL 112b; SLLHA 138; KWU 834,leʾum dab₄ deh dehi dih dub duba dubba dubu dup kišeb kišeb₃ kišib₃ mebulug₃ menbulug₃ mes₂ simig sumug šen₄ tehe tehi tub tup ṭub ṭup urud₂ urudu₂ zamug,7197,,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=samag&subIndex=1&value=samag
samag,samag,1,2,UM,ABZ134,238,HZL 98; OBZL 113; SLLHA 134; KWU 189,deh₂ dehi₂ dih₂ dihi₂ sumug šumugₓ teh₂ tehi₂ u₁₆ um umu,9476,yes,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=samag&subIndex=1&value=samag
sanga₂,sanga,2,2,SANGA₂,ABZ320,493,LAK 175,saĝa₂,3146,yes,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=sanga%E2%82%82&subIndex=2&value=sanga
sanga₂,sanga,2,2,|IL₂.MA₂.DUB₂|,ABZ320,493,,saĝa₂ saĝĝa₂ sagga₂ sangu₂,3146,,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=sanga%E2%82%82&subIndex=2&value=sanga
sas,sas,1,2,|KI.KAL|,,,,bad₄ dubad garaš₅ hirim hirin hurin kankal karaš₂ kikla kislah₃ uludim uludin ulutim ulutin,0,,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=sas&subIndex=1&value=sas
sas,sas,1,2,ŠEŠ,ABZ331,535,HZL 79; LAK 32; OBZL 21b; SLLHA 331; KWU 32,ah₂ aha₂ ahi mun₄ muš₅ nan ses sis siš šas šaš šaṣ še₁₆ šes šeṣ šeš šiš šis šiṣ šiz zaₓ zahₓ,16688,yes,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=sas&subIndex=1&value=sas
saĝa₂,saĝa,2,2,SANGA₂,ABZ320,493,LAK 175,sanga₂,3146,yes,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=sa%C4%9Da%E2%82%82&subIndex=2&value=sa%C4%9Da
saĝa₂,saĝa,2,2,|IL₂.MA₂.DUB₂|,ABZ320,493,,saĝĝa₂ sagga₂ sanga₂ sangu₂,3146,,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=sa%C4%9Da%E2%82%82&subIndex=2&value=sa%C4%9Da
silig₃,silig,3,2,|TAG×KU|,,,,tibir₄ ud₄ ut₄ uttuₓ,0,yes,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=silig%E2%82%83&subIndex=3&value=silig
silig₃,silig,3,2,|TAG×TUG₂|,,,HZL 91; OBZL 122; SLLHA 126fv,tibir₄ uṭu utuₓ uttu,0,,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=silig%E2%82%83&subIndex=3&value=silig
suhul,suhul,1,2,|ŠU₂.3×AN|,ABZ547,872,OBZL 424; SLLHA 547,iši₂ kunga kungi suhub sulgar šuhub,0,,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=suhul&subIndex=1&value=suhul
suhul,suhul,1,2,|ŠU₂.AN|,ABZ546,870,LAK 356; SLLHA 546,en₂ gibil₇ gibir₂ iši₂ kibir₃ kunga₂ kungi₂ sulgar še₉ šuhub,0,yes,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=suhul&subIndex=1&value=suhul
sulgar,sulgar,1,2,|ŠU₂.3×AN|,ABZ547,872,OBZL 424; SLLHA 547,iši₂ kunga kungi suhub suhul šuhub,0,,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=sulgar&subIndex=1&value=sulgar
sulgar,sulgar,1,2,|ŠU₂.AN|,ABZ546,870,LAK 356; SLLHA 546,en₂ gibil₇ gibir₂ iši₂ kibir₃ kunga₂ kungi₂ suhul še₉ šuhub,0,yes,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=sulgar&subIndex=1&value=sulgar
suluhu₃,suluhu,3,2,|ZI&ZI.A|,ABZ66a,104,OBZL 151; SLLHA 66a,aškiₓ ginₓ gugₓ lamahušₓ mudₓ numunₓ sulumhi₃ šubₓ zukum₂ zuluhu₃ zulumhi₃,0,yes,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=suluhu%E2%82%83&subIndex=3&value=suluhu
suluhu₃,suluhu,3,2,|ZI&ZI.LAGAB|,ABZ66c,102,OBZL 149; SLLHA 66c; KWU 128,aški gin₄ gug₄ lamahuš mud₇ numun₂ sulumhi₃ šub₅ zukum zuluhu₃ zulumhi₃,0,,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=suluhu%E2%82%83&subIndex=3&value=suluhu
sulumhi₃,sulumhi,3,2,|ZI&ZI.A|,ABZ66a,104,OBZL 151; SLLHA 66a,aškiₓ ginₓ gugₓ lamahušₓ mudₓ numunₓ suluhu₃ šubₓ zukum₂ zuluhu₃ zulumhi₃,0,yes,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=sulumhi%E2%82%83&subIndex=3&value=sulumhi
sulumhi₃,sulumhi,3,2,|ZI&ZI.LAGAB|,ABZ66c,102,OBZL 149; SLLHA 66c; KWU 128,aški gin₄ gug₄ lamahuš mud₇ numun₂ suluhu₃ šub₅ zukum zuluhu₃ zulumhi₃,0,,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=sulumhi%E2%82%83&subIndex=3&value=sulumhi
sumug,sumug,1,2,DUB,ABZ138,242,HZL 99; LAK 609; OBZL 112b; SLLHA 138; KWU 834,leʾum dab₄ deh dehi dih dub duba dubba dubu dup kišeb kišeb₃ kišib₃ mebulug₃ menbulug₃ mes₂ samag simig šen₄ tehe tehi tub tup ṭub ṭup urud₂ urudu₂ zamug,7197,,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=sumug&subIndex=1&value=sumug
sumug,sumug,1,2,UM,ABZ134,238,HZL 98; OBZL 113; SLLHA 134; KWU 189,deh₂ dehi₂ dih₂ dihi₂ samag šumugₓ teh₂ tehi₂ u₁₆ um umu,9476,yes,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=sumug&subIndex=1&value=sumug
sumugan,sumugan,1,2,ANŠE,ABZ208,353,HZL 302; LAK 253; OBZL 292; SLLHA 208; KWU 460,anše anši anšu šagan₂ šakan₃,2264,yes,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=sumugan&subIndex=1&value=sumugan
sumugan,sumugan,1,2,GIR₃,ABZ444,701,HZL 301; LAK 248; OBZL 291b; SLLHA 444; KWU 457,anše₂ anšu₂ er₉ ger₃ gir₃ giri₃ giru₃ ĝir₃ ĝiri₃ huš₂ imeriₓ ir₉ irra kir₁₀ kiri₅ merₓ miriₓ qir₇ sakkan sumugga sumukan sumuqan šakan₂ šakkan₂ wir,6023,,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=sumugan&subIndex=1&value=sumugan
sutu,sutu,1,2,1(BAN₂),ABZ74,122,HZL 20; OBZL 29; SLLHA 74,1/2 ban₂ banda₂,31427,,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=sutu&subIndex=1&value=sutu
sutu,sutu,1,2,BAR,ABZ74,121,HZL 20; LAK 752; OBZL 57; SLLHA 74; KWU 671,ba₁₅ bar bara bare par₂ para₂ war,31427,yes,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=sutu&subIndex=1&value=sutu
tab₄,tab,4,2,TAB@t,ABZ124n2,593,,min₈,0,yes,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=tab%E2%82%84&subIndex=4&value=tab
tab₄,tab,4,2,|U.U|,ABZ471,708,HZL 296; OBZL 363; SLLHA 471,amna₂ buzur₂ gešₓ gišₓ ma₁₀ mam man mana men₅ mešₓ mim₃ min₃ mina₃ naš nes neš nis niš niz puzur₂ šamaš₂ šar₄ šarru₂ šušana₂ šušanaku utu₃ wan 20,0,,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=tab%E2%82%84&subIndex=4&value=tab
tana,tana,1,2,KAL,ABZ322,496,HZL 196; LAK 709b; OBZL 176; SLLHA 322,dannu eṭlu alad₂ baštum dan dana₃ dun₆ esi esig ešaₓ gal₉ kal kala kalag kalaga kalga la₆ lab lala₂ lama₃ lamar lamassu lamma lammar lap lib₂ lip₂ mirₓ nir₆ qal₄ rab₄ reb rep rib rip rub sa₁₄ sag₈ seg₁₅ si₂₁ sig₁₅ silim₂ silima₂ subₓ sun₇ sunaₓ šedu ṣurṣub₂ tan ṭan urrub₂ ursub₂ zi₈ zurzub₂,17756,yes,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=tana&subIndex=1&value=tana
tana,tana,1,2,TI@t,ABZ73,118,,tibnu,40145,,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=tana&subIndex=1&value=tana
tibir₄,tibir,4,2,|TAG×KU|,,,,silig₃ ud₄ ut₄ uttuₓ,0,yes,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=tibir%E2%82%84&subIndex=4&value=tibir
tibir₄,tibir,4,2,|TAG×TUG₂|,,,HZL 91; OBZL 122; SLLHA 126fv,silig₃ uṭu utuₓ uttu,0,,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=tibir%E2%82%84&subIndex=4&value=tibir
tibnu,tibnu,1,2,TI,ABZ73,118,LAK 18; SLLHA 73av; KWU 37; OBZL 23,de₉ di₃ te₉ tel₃ teĝ₄ ti tig₄ tiĝ₄ til₃ tila₃ ṭe₆ ṭi₃,40145,yes,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=tibnu&subIndex=1&value=tibnu
tibnu,tibnu,1,2,TI@t,ABZ73,118,,tana,40145,,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=tibnu&subIndex=1&value=tibnu
ti₂,ti,2,2,DIN,ABZ465,119,HZL 330; LAK 237; OBZL 361; SLLHA 465; KWU 575,dan₅ den di₂ din dini gurun₈ idinₓ kurun₂ ten₂ tilₓ tim₃ tin ṭen ṭin,15586,,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=ti%E2%82%82&subIndex=2&value=ti
ti₂,ti,2,2,TÍ,ABZ396,633,HZL 335; LAK 359; OBZL 277; SLLHA 396; KWU 446,de₈ di₂ te₂ ṭe₂ ṭi₂,32130,yes,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=ti%E2%82%82&subIndex=2&value=ti
turungal,turungal,1,2,|A.LAGAB×HAL.UD.NUN.KI|,,,,darengal išuruengal surengal surgal,0,,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=turungal&subIndex=1&value=turungal
turungal,turungal,1,2,|UD.NUN|,,,,adab adaba arab darengal durungal isurungal suruengal surungal surugal usab,0,yes,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=turungal&subIndex=1&value=turungal
uga₃,uga,3,2,NAGA,ABZ165,293,LAK 209; OBZL 377; SLLHA 165; KWU 592,ereš₂ eriš₂ hilib₂ naga naĝa nak₂ nama nanga₆ nidaba₂ nisaba₂ te₃ teme tu₂₂ uhul,1505,,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=uga%E2%82%83&subIndex=3&value=uga
uga₃,uga,3,2,UN,ABZ312,501,LAK 729; KWU 849,u₁₂ ug₃ uĝ₃ uku₃ umₓ un unu₄,16723,yes,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=uga%E2%82%83&subIndex=3&value=uga
ussu₃,ussu,3,2,USSU₃,ABZ331c,538,SLLHA 331c,,0,yes,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=ussu%E2%82%83&subIndex=3&value=ussu
ussu₃,ussu,3,2,|AŠ&AŠ&AŠ.AŠ&AŠ&AŠ.TAB|,,,,ussa₃,0,,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=ussu%E2%82%83&subIndex=3&value=ussu
